igi.event,daten,focal,rival,n.adults,mean.age
206,38586,1B,2,26,1216.769231
207,38586,1N,2,5,994.4
208,38590,1N,2,5,998.4
209,38591,2,1N,42,1199.880952
210,38595,1K,13,14,860.4285714
211,38595,1K,13,14,860.4285714
212,38597,4B,11,25,1065.76
213,38612,1B,12,27,1178.037037
214,38616,2,1N,42,1224.880952
215,38623,1H,7A,23,1186.130435
216,38630,1N,2,6,743
217,38636,2,1N,64,880.890625
218,38644,1N,2,6,757
219,38648,1H,7A,24,1168.458333
220,38648,1H,7A,24,1168.458333
221,38652,2,1B,64,896.890625
222,38653,2,1B,64,897.890625
223,38672,4B,11,30,876.6666667
224,38672,2,1N,64,916.890625
225,38673,1N,2,6,786
226,38694,1B,2,26,1284.615385
227,38706,2,1B,46,929.1086957
228,38720,1B,1N,28,1231.571429
229,38720,1B,2,28,1231.571429
230,38724,2,1B,45,962.0666667
231,38728,11,2,27,1231.777778
232,38749,11,1B,26,1292.230769
233,38751,15,1B,15,714.5333333
234,38755,2,1N,32,1059.40625
235,38755,2,1B,32,1059.40625
236,38756,11,2,26,1299.230769
237,38761,2,11,32,1065.40625
238,38762,15,1B,15,725.5333333
239,38764,2,1N,32,1068.40625
240,38775,4B,11,29,957.5172414
241,38777,1B,2,29,1138.62069
242,38783,2,1B,32,1087.40625
243,38791,2,1N,32,1095.40625
244,38793,11,1H,25,1211.96
245,38795,15,1B,15,724.1333333
246,38798,2,1B,32,1102.40625
247,38805,1N,1B,5,845.8
248,38808,1H,7A,23,1308.434783
249,38808,2,1N,30,1078.333333
250,38810,11,4B,25,1228.96
251,38828,1H,1B,23,1328.434783
252,38831,1N,1B,5,871.8
253,38834,4B,11,28,1040.25
254,38845,2,1B,30,1075.633333
255,38847,4B,11,28,1053.25
256,38856,15,1B,14,822.1428571
257,38859,1B,1N,27,1225.555556
258,38860,1N,1B,5,900.8
259,38861,1N,1B,5,901.8
260,38861,1B,1N,27,1227.555556
261,38862,1N,1B,5,902.8
262,38923,2,1N,28,1203.178571
263,38930,1H,7A,23,1430.434783
264,38933,11,4B,24,1380.833333
265,38938,2,1N,28,1218.178571
266,38943,2,1N,28,1223.178571
267,38944,1B,15,28,1123.714286
268,38945,2,1N,27,1150.333333
269,38952,2,1N,27,1157.333333
270,38957,14A,15,4,1143
