igi.event,daten,focal,rival,n.adults,mean.age
186,38528,1B,12,7,993.4285714
187,38530,11,1N,5,938.4
188,38530,11,2,43,1130.581395
189,38531,1B,1N,5,939.4
190,38534,1B,2,43,1134.581395
191,38542,1B,2,42,1150.880952
192,38544,1B,12,7,1009.428571
193,38544,1B,2,42,1152.880952
194,38552,1N,2,42,1160.880952
195,38553,1B,2,42,1161.880952
196,38553,1B,2,42,1161.880952
197,38553,1N,2,42,1161.880952
198,38557,11,4B,25,1025.76
199,38562,1B,1K,16,887.4375
200,38568,1N,2,42,1176.880952
201,38574,2,1N,5,982.4
202,38574,12,1K,16,899.4375
203,38579,2,1B,26,1209.769231
204,38583,2,1B,26,1213.769231
205,38583,7A,1H,23,1146.130435
206,38586,1B,2,42,1194.880952
207,38586,1N,2,42,1194.880952
208,38590,1N,2,42,1198.880952
209,38591,2,1N,5,999.4
210,38595,1K,13,4,577
211,38595,1K,13,4,577
212,38597,4B,11,26,1140.230769
213,38612,1B,12,6,1184.333333
214,38616,2,1N,4,1008
215,38623,1H,7A,16,814.5625
216,38630,1N,2,42,1238.880952
217,38636,2,1N,6,749
218,38644,1N,2,64,888.890625
219,38648,1H,7A,16,839.5625
220,38648,1H,7A,16,839.5625
221,38652,2,1B,26,1242.615385
222,38653,2,1B,26,1243.615385
223,38672,4B,11,26,1215.230769
224,38672,2,1N,6,785
225,38673,1N,2,64,917.890625
226,38694,1B,2,48,950.5416667
227,38706,2,1B,28,1217.571429
228,38720,1B,1N,6,833
229,38720,1B,2,45,958.0666667
230,38724,2,1B,28,1235.571429
231,38728,11,2,45,966.0666667
232,38749,11,1B,27,1181.259259
233,38751,15,1B,27,1183.259259
234,38755,2,1N,6,868
235,38755,2,1B,27,1187.259259
236,38756,11,2,32,1060.40625
237,38761,2,11,26,1304.230769
238,38762,15,1B,27,1194.259259
239,38764,2,1N,6,877
240,38775,4B,11,26,1318.230769
241,38777,1B,2,32,1081.40625
242,38783,2,1B,29,1144.62069
243,38791,2,1N,6,904
244,38793,11,1H,24,1275.708333
245,38795,15,1B,29,1156.62069
246,38798,2,1B,29,1159.62069
247,38805,1N,1B,29,1166.62069
248,38808,1H,7A,12,973.9166667
249,38808,2,1N,5,848.8
250,38810,11,4B,28,1016.25
251,38828,1H,1B,28,1190.714286
252,38831,1N,1B,28,1193.714286
253,38834,4B,11,25,1252.96
254,38845,2,1B,27,1211.555556
255,38847,4B,11,25,1265.96
256,38856,15,1B,27,1222.555556
257,38859,1B,1N,5,899.8
258,38860,1N,1B,27,1226.555556
259,38861,1N,1B,27,1227.555556
